,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Label,SegmentID,Subject
0,1246.0,2135.0,615.0,-972.0,-35.0,1445.0,1.updown,5,CW
1,1342.0,2116.0,870.0,-1260.0,321.0,1760.0,1.updown,5,CW
2,951.0,2241.0,910.0,-1414.0,172.0,1508.0,1.updown,5,CW
3,678.0,2546.0,876.0,-1663.0,-278.0,1036.0,1.updown,5,CW
4,479.0,2762.0,843.0,-2281.0,-642.0,838.0,1.updown,5,CW
5,742.0,2865.0,632.0,-3075.0,-834.0,737.0,1.updown,5,CW
6,1144.0,2925.0,470.0,-4145.0,-373.0,908.0,1.updown,5,CW
7,603.0,2363.0,221.0,-5443.0,543.0,1277.0,1.updown,5,CW
8,-627.0,1028.0,-364.0,-6339.0,857.0,1815.0,1.updown,5,CW
9,-1395.0,-57.0,-955.0,-7052.0,468.0,2762.0,1.updown,5,CW
10,-1477.0,-883.0,-1307.0,-8130.0,169.0,3658.0,1.updown,5,CW
11,-1661.0,-2135.0,-1514.0,-9299.0,558.0,4220.0,1.updown,5,CW
12,-2087.0,-4000.0,-1934.0,-9979.0,1179.0,3898.0,1.updown,5,CW
13,-2433.0,-6154.0,-2423.0,-9978.0,1151.0,2884.0,1.updown,5,CW
14,-2442.0,-8082.0,-2668.0,-9554.0,483.0,1793.0,1.updown,5,CW
15,-2218.0,-9796.0,-3029.0,-8887.0,-171.0,748.0,1.updown,5,CW
16,-1814.0,-11099.0,-3394.0,-8053.0,-327.0,348.0,1.updown,5,CW
17,-1495.0,-12317.0,-3226.0,-7537.0,171.0,972.0,1.updown,5,CW
18,-1230.0,-13462.0,-2727.0,-7275.0,906.0,1783.0,1.updown,5,CW
19,-890.0,-14552.0,-2256.0,-6740.0,1497.0,1896.0,1.updown,5,CW
20,-601.0,-15241.0,-2199.0,-5484.0,1634.0,1644.0,1.updown,5,CW
21,-688.0,-15572.0,-2206.0,-3820.0,1223.0,1698.0,1.updown,5,CW
22,-804.0,-15508.0,-2009.0,-2251.0,774.0,1835.0,1.updown,5,CW
23,-586.0,-14852.0,-1660.0,-929.0,524.0,1775.0,1.updown,5,CW
24,-383.0,-13728.0,-1271.0,268.0,381.0,1317.0,1.updown,5,CW
25,-363.0,-12458.0,-1043.0,1398.0,213.0,423.0,1.updown,5,CW
26,-378.0,-11137.0,-886.0,2501.0,53.0,-523.0,1.updown,5,CW
27,-439.0,-9833.0,-763.0,3480.0,-57.0,-1179.0,1.updown,5,CW
28,-712.0,-8784.0,-757.0,4183.0,-250.0,-1578.0,1.updown,5,CW
29,-1059.0,-8074.0,-966.0,4714.0,-602.0,-1636.0,1.updown,5,CW
30,-1208.0,-7337.0,-1103.0,5164.0,-1025.0,-1281.0,1.updown,5,CW
31,-1291.0,-6536.0,-1104.0,5405.0,-1287.0,-986.0,1.updown,5,CW
32,-1488.0,-5936.0,-1078.0,5559.0,-1355.0,-1180.0,1.updown,5,CW
33,-1612.0,-5512.0,-1117.0,5786.0,-1283.0,-1836.0,1.updown,5,CW
34,-1571.0,-5177.0,-1179.0,5964.0,-1166.0,-2519.0,1.updown,5,CW
35,-1393.0,-4869.0,-1131.0,6025.0,-999.0,-2929.0,1.updown,5,CW
