sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
149,-717.0,-1120.0,-196.0,5484.0,-58.0,-426.0
150,-822.0,-588.0,-73.0,5188.0,-399.0,-120.0
151,-763.0,-86.0,123.0,4929.0,-835.0,81.0
152,-628.0,409.0,352.0,4687.0,-946.0,147.0
153,-395.0,876.0,562.0,4382.0,-769.0,56.0
154,-235.0,1179.0,828.0,3949.0,-655.0,-237.0
155,-75.0,1515.0,955.0,3500.0,-697.0,-637.0
156,168.0,1863.0,1014.0,3026.0,-574.0,-981.0
157,287.0,1949.0,1129.0,2497.0,-200.0,-1187.0
158,262.0,2029.0,1058.0,2075.0,21.0,-1117.0
159,239.0,2219.0,1021.0,1650.0,-118.0,-911.0
160,216.0,2437.0,1019.0,1123.0,-375.0,-671.0
161,203.0,2597.0,853.0,534.0,-586.0,-273.0
162,338.0,2538.0,610.0,-30.0,-653.0,355.0
163,715.0,2291.0,446.0,-566.0,-468.0,972.0
164,1246.0,2135.0,615.0,-972.0,-35.0,1445.0
165,1342.0,2116.0,870.0,-1260.0,321.0,1760.0
166,951.0,2241.0,910.0,-1414.0,172.0,1508.0
167,678.0,2546.0,876.0,-1663.0,-278.0,1036.0
168,479.0,2762.0,843.0,-2281.0,-642.0,838.0
169,742.0,2865.0,632.0,-3075.0,-834.0,737.0
170,1144.0,2925.0,470.0,-4145.0,-373.0,908.0
171,603.0,2363.0,221.0,-5443.0,543.0,1277.0
172,-627.0,1028.0,-364.0,-6339.0,857.0,1815.0
173,-1395.0,-57.0,-955.0,-7052.0,468.0,2762.0
174,-1477.0,-883.0,-1307.0,-8130.0,169.0,3658.0
175,-1661.0,-2135.0,-1514.0,-9299.0,558.0,4220.0
176,-2087.0,-4000.0,-1934.0,-9979.0,1179.0,3898.0
177,-2433.0,-6154.0,-2423.0,-9978.0,1151.0,2884.0
178,-2442.0,-8082.0,-2668.0,-9554.0,483.0,1793.0
179,-2218.0,-9796.0,-3029.0,-8887.0,-171.0,748.0
180,-1814.0,-11099.0,-3394.0,-8053.0,-327.0,348.0
181,-1495.0,-12317.0,-3226.0,-7537.0,171.0,972.0
182,-1230.0,-13462.0,-2727.0,-7275.0,906.0,1783.0
183,-890.0,-14552.0,-2256.0,-6740.0,1497.0,1896.0
184,-601.0,-15241.0,-2199.0,-5484.0,1634.0,1644.0
185,-688.0,-15572.0,-2206.0,-3820.0,1223.0,1698.0
186,-804.0,-15508.0,-2009.0,-2251.0,774.0,1835.0
187,-586.0,-14852.0,-1660.0,-929.0,524.0,1775.0
188,-383.0,-13728.0,-1271.0,268.0,381.0,1317.0
189,-363.0,-12458.0,-1043.0,1398.0,213.0,423.0
190,-378.0,-11137.0,-886.0,2501.0,53.0,-523.0
191,-439.0,-9833.0,-763.0,3480.0,-57.0,-1179.0
192,-712.0,-8784.0,-757.0,4183.0,-250.0,-1578.0
193,-1059.0,-8074.0,-966.0,4714.0,-602.0,-1636.0
194,-1208.0,-7337.0,-1103.0,5164.0,-1025.0,-1281.0
195,-1291.0,-6536.0,-1104.0,5405.0,-1287.0,-986.0
196,-1488.0,-5936.0,-1078.0,5559.0,-1355.0,-1180.0
197,-1612.0,-5512.0,-1117.0,5786.0,-1283.0,-1836.0
198,-1571.0,-5177.0,-1179.0,5964.0,-1166.0,-2519.0
199,-1393.0,-4869.0,-1131.0,6025.0,-999.0,-2929.0
200,-1373.0,-4519.0,-1027.0,6115.0,-920.0,-3062.0
201,-1366.0,-4027.0,-1012.0,6213.0,-1194.0,-2860.0
202,-1094.0,-3350.0,-948.0,6189.0,-1526.0,-2389.0
203,-780.0,-2786.0,-780.0,6014.0,-1580.0,-1998.0
204,-665.0,-2434.0,-741.0,5838.0,-1521.0,-1902.0
205,-671.0,-2077.0,-760.0,5711.0,-1534.0,-1955.0
206,-576.0,-1747.0,-827.0,5585.0,-1581.0,-1834.0
207,-347.0,-1436.0,-797.0,5485.0,-1487.0,-1458.0
208,-81.0,-868.0,-731.0,5340.0,-1336.0,-1033.0
209,-230.0,-263.0,-456.0,5086.0,-1090.0,-772.0
210,-317.0,313.0,-213.0,4847.0,-1054.0,-747.0
211,-230.0,943.0,4.0,4505.0,-1086.0,-771.0
212,-57.0,1492.0,183.0,3959.0,-1029.0,-777.0
213,197.0,1838.0,390.0,3272.0,-872.0,-799.0
214,610.0,2132.0,556.0,2524.0,-604.0,-878.0
215,901.0,2354.0,729.0,1729.0,-308.0,-1033.0
216,1003.0,2512.0,862.0,945.0,-151.0,-1223.0
217,833.0,2536.0,867.0,223.0,-154.0,-1200.0
218,500.0,2445.0,631.0,-296.0,-402.0,-712.0
219,442.0,2430.0,421.0,-620.0,-747.0,197.0
220,701.0,2521.0,376.0,-1007.0,-769.0,1225.0
221,1022.0,2651.0,317.0,-1489.0,-390.0,2122.0
222,1101.0,2629.0,421.0,-1965.0,150.0,2653.0
223,1009.0,2491.0,380.0,-2402.0,541.0,2654.0
224,1024.0,2435.0,273.0,-2802.0,906.0,2401.0
225,962.0,2482.0,299.0,-3271.0,1355.0,2211.0
226,768.0,2413.0,99.0,-3744.0,1719.0,2029.0
227,421.0,2097.0,-261.0,-3991.0,1997.0,2017.0
228,97.0,2013.0,-314.0,-4223.0,2117.0,2541.0
229,-338.0,2315.0,-236.0,-4851.0,2033.0,3428.0
230,-1091.0,2458.0,-204.0,-5720.0,1907.0,4108.0
231,-1959.0,2163.0,-449.0,-6575.0,1560.0,4521.0
232,-2636.0,1157.0,-946.0,-7449.0,1113.0,4775.0
233,-3018.0,-346.0,-1756.0,-8127.0,1163.0,4737.0
234,-3236.0,-2451.0,-2587.0,-8702.0,1635.0,4156.0
235,-3045.0,-5047.0,-3150.0,-9095.0,2001.0,3075.0
236,-2582.0,-7578.0,-3530.0,-8960.0,2227.0,2146.0
237,-2383.0,-9716.0,-3624.0,-8337.0,2481.0,1495.0
238,-2362.0,-11271.0,-3447.0,-7475.0,2750.0,679.0
239,-2554.0,-12354.0,-2914.0,-6681.0,2936.0,44.0
240,-2816.0,-13373.0,-2385.0,-5997.0,2460.0,339.0
241,-2711.0,-14337.0,-2015.0,-5275.0,1447.0,1520.0
242,-2445.0,-15020.0,-1641.0,-4492.0,563.0,2606.0
243,-2379.0,-15575.0,-1493.0,-3476.0,-122.0,2751.0
244,-2323.0,-15961.0,-1641.0,-2031.0,-547.0,2125.0
245,-1938.0,-15598.0,-1589.0,-426.0,-461.0,1335.0
246,-1454.0,-14549.0,-1096.0,910.0,-43.0,283.0
247,-1179.0,-13192.0,-726.0,1962.0,101.0,-1046.0
248,-1054.0,-11900.0,-764.0,2993.0,-153.0,-2291.0
249,-959.0,-10777.0,-1011.0,3875.0,-330.0,-2999.0
250,-912.0,-9869.0,-1249.0,4459.0,-454.0,-3047.0
251,-886.0,-9016.0,-1410.0,4929.0,-642.0,-2760.0
252,-962.0,-8271.0,-1555.0,5258.0,-709.0,-2527.0
253,-1125.0,-7803.0,-1605.0,5520.0,-644.0,-2505.0
254,-1305.0,-7402.0,-1818.0,5906.0,-597.0,-2674.0
255,-1517.0,-7052.0,-2032.0,6313.0,-726.0,-2804.0
256,-1724.0,-6601.0,-2086.0,6682.0,-1030.0,-2763.0
257,-1721.0,-5853.0,-2049.0,6982.0,-1321.0,-2739.0
258,-1574.0,-4972.0,-1951.0,7116.0,-1443.0,-2958.0
259,-1432.0,-4137.0,-1822.0,7122.0,-1379.0,-3393.0
260,-1140.0,-3518.0,-1734.0,7099.0,-1218.0,-3951.0
261,-753.0,-2976.0,-1621.0,7079.0,-870.0,-4300.0
262,-627.0,-2307.0,-1396.0,6959.0,-632.0,-4133.0
263,-548.0,-1509.0,-1176.0,6615.0,-672.0,-3721.0
264,-540.0,-794.0,-973.0,6099.0,-743.0,-3391.0
265,-515.0,-208.0,-774.0,5620.0,-763.0,-3042.0
266,-412.0,386.0,-562.0,5212.0,-730.0,-2547.0
267,-300.0,976.0,-269.0,4778.0,-753.0,-1976.0
268,-247.0,1434.0,21.0,4304.0,-887.0,-1391.0
269,-279.0,1697.0,190.0,3920.0,-1082.0,-830.0
270,-197.0,1953.0,323.0,3677.0,-1211.0,-290.0
271,48.0,2255.0,467.0,3488.0,-1081.0,19.0
272,364.0,2445.0,610.0,3231.0,-687.0,-90.0
273,540.0,2646.0,695.0,2802.0,-285.0,-465.0
274,572.0,2801.0,773.0,2305.0,54.0,-846.0
275,623.0,2996.0,779.0,1784.0,346.0,-972.0
276,587.0,3133.0,774.0,1201.0,539.0,-729.0
277,523.0,3230.0,768.0,555.0,614.0,-360.0
278,511.0,3422.0,824.0,-138.0,679.0,66.0
279,560.0,3516.0,896.0,-907.0,798.0,456.0
280,606.0,3476.0,864.0,-1704.0,1003.0,712.0
281,489.0,3397.0,724.0,-2478.0,1137.0,911.0
282,296.0,3193.0,432.0,-3195.0,1019.0,1192.0
283,136.0,2989.0,202.0,-3779.0,869.0,1540.0
284,11.0,3048.0,171.0,-4291.0,781.0,1684.0
285,-39.0,3441.0,131.0,-4820.0,708.0,1514.0
286,-369.0,3692.0,101.0,-5501.0,692.0,1121.0
287,-1035.0,3489.0,-145.0,-6369.0,593.0,646.0
288,-1501.0,3044.0,-708.0,-7237.0,337.0,722.0
289,-1709.0,2455.0,-1237.0,-8109.0,86.0,1750.0
290,-2012.0,1371.0,-1752.0,-9081.0,-170.0,3217.0
291,-2229.0,-62.0,-2144.0,-10002.0,-395.0,4535.0
292,-2388.0,-1797.0,-2529.0,-10809.0,-506.0,5281.0
293,-2364.0,-4131.0,-3040.0,-11285.0,-464.0,5200.0
294,-2157.0,-6942.0,-3817.0,-11147.0,-372.0,4390.0
295,-1935.0,-10053.0,-4401.0,-10631.0,-361.0,3583.0
296,-1606.0,-12857.0,-4645.0,-9934.0,-339.0,3444.0
297,-1146.0,-15148.0,-4533.0,-9033.0,-26.0,3785.0
298,-1083.0,-16985.0,-4244.0,-7746.0,319.0,3949.0
299,-1458.0,-18235.0,-3974.0,-6124.0,452.0,3957.0
300,-2094.0,-18777.0,-3457.0,-4539.0,520.0,4208.0
301,-2590.0,-18565.0,-2931.0,-3191.0,402.0,4400.0
302,-2706.0,-17800.0,-2548.0,-1884.0,128.0,4174.0
303,-2607.0,-16734.0,-2174.0,-429.0,-64.0,3122.0
304,-2121.0,-15161.0,-1955.0,1122.0,-55.0,1169.0
305,-1622.0,-13344.0,-1950.0,2484.0,116.0,-842.0
306,-1408.0,-11785.0,-2038.0,3519.0,277.0,-2164.0
307,-1476.0,-10411.0,-2102.0,4225.0,275.0,-2752.0
308,-1633.0,-9151.0,-2198.0,4628.0,30.0,-2835.0
309,-1909.0,-8201.0,-2338.0,4824.0,-419.0,-2579.0
310,-2139.0,-7620.0,-2596.0,5020.0,-1066.0,-2218.0
311,-1947.0,-7065.0,-2807.0,5406.0,-1570.0,-1819.0
312,-1572.0,-6366.0,-2727.0,5827.0,-1721.0,-1775.0
313,-1457.0,-5605.0,-2572.0,6230.0,-1688.0,-2667.0
314,-1447.0,-4538.0,-2447.0,6742.0,-1461.0,-4101.0
315,-1411.0,-3341.0,-2239.0,7042.0,-1150.0,-5160.0
316,-1467.0,-2366.0,-1904.0,6931.0,-829.0,-5542.0
317,-1503.0,-1579.0,-1531.0,6587.0,-586.0,-5423.0
318,-1430.0,-1049.0,-1294.0,6226.0,-504.0,-4991.0
319,-1269.0,-602.0,-1111.0,6074.0,-407.0,-4301.0
320,-1053.0,-41.0,-955.0,6108.0,-287.0,-3409.0
321,-671.0,547.0,-717.0,6137.0,-230.0,-2557.0
322,-261.0,1221.0,-365.0,6011.0,-63.0,-1904.0
323,-156.0,1818.0,14.0,5650.0,144.0,-1614.0
324,-252.0,2182.0,355.0,5134.0,240.0,-1656.0
325,-352.0,2410.0,583.0,4539.0,160.0,-1747.0
326,-298.0,2647.0,637.0,3921.0,-24.0,-1736.0
327,-62.0,2868.0,597.0,3361.0,-35.0,-1580.0
328,232.0,3098.0,627.0,2827.0,207.0,-1353.0
329,471.0,3360.0,641.0,2270.0,537.0,-1144.0
330,550.0,3643.0,696.0,1731.0,788.0,-1006.0
331,481.0,4028.0,852.0,1118.0,944.0,-963.0
332,341.0,4441.0,990.0,321.0,1120.0,-838.0
333,227.0,4576.0,1087.0,-647.0,1317.0,-419.0
334,268.0,4493.0,1246.0,-1655.0,1437.0,485.0
335,372.0,4370.0,1383.0,-2738.0,1379.0,1516.0
336,594.0,3959.0,1207.0,-3681.0,1198.0,2213.0
337,733.0,3544.0,920.0,-4344.0,1033.0,2712.0
338,729.0,3337.0,694.0,-5004.0,980.0,3193.0
339,571.0,3361.0,554.0,-5892.0,1168.0,3511.0
340,162.0,3307.0,402.0,-6876.0,1259.0,3409.0
341,-298.0,3186.0,86.0,-7806.0,1198.0,3129.0
342,-851.0,2920.0,-444.0,-8820.0,1194.0,3052.0
343,-1433.0,2230.0,-1021.0,-9942.0,1036.0,3340.0
344,-2001.0,725.0,-1935.0,-10969.0,542.0,4002.0
345,-2218.0,-1433.0,-2949.0,-11430.0,-26.0,4914.0
346,-2091.0,-3845.0,-3950.0,-11444.0,-483.0,6169.0
347,-2205.0,-6532.0,-4946.0,-11207.0,-644.0,7226.0
348,-2605.0,-9257.0,-5448.0,-10556.0,-476.0,7169.0
349,-3185.0,-11611.0,-5525.0,-9327.0,58.0,5881.0
350,-3403.0,-13208.0,-5632.0,-7656.0,858.0,3904.0
351,-3641.0,-14421.0,-5512.0,-6031.0,1384.0,2453.0
352,-4221.0,-15882.0,-5339.0,-4640.0,1252.0,1835.0
353,-4414.0,-16757.0,-5076.0,-3227.0,719.0,1898.0
354,-4448.0,-16644.0,-4612.0,-2031.0,346.0,2128.0
355,-4440.0,-16292.0,-4142.0,-1133.0,79.0,1735.0
356,-4222.0,-15622.0,-3695.0,-138.0,-162.0,1035.0
357,-3709.0,-14396.0,-3357.0,1054.0,-408.0,453.0
358,-3089.0,-12923.0,-3023.0,2221.0,-582.0,-42.0
359,-2591.0,-11463.0,-2709.0,3203.0,-662.0,-705.0
360,-2333.0,-10046.0,-2584.0,4029.0,-778.0,-1700.0
361,-2327.0,-8957.0,-2703.0,4700.0,-965.0,-2741.0
362,-2491.0,-8322.0,-2937.0,5149.0,-1219.0,-3073.0
363,-2523.0,-7848.0,-3074.0,5502.0,-1467.0,-2664.0
364,-2257.0,-7069.0,-3052.0,5900.0,-1590.0,-2371.0
365,-2112.0,-6288.0,-2953.0,6279.0,-1482.0,-2857.0
366,-2279.0,-5776.0,-2941.0,6684.0,-1271.0,-3834.0
367,-2395.0,-5366.0,-3001.0,7089.0,-1192.0,-4482.0
368,-2207.0,-4802.0,-2983.0,7439.0,-1185.0,-4462.0
369,-1785.0,-3941.0,-2875.0,7713.0,-1152.0,-4126.0
370,-1504.0,-3101.0,-2745.0,7893.0,-1081.0,-3911.0
371,-1273.0,-2271.0,-2519.0,8066.0,-867.0,-3936.0
372,-999.0,-1231.0,-2171.0,8173.0,-449.0,-4078.0
373,-816.0,-241.0,-1665.0,8076.0,1.0,-4321.0
374,-728.0,556.0,-1214.0,7764.0,374.0,-4609.0
375,-652.0,1258.0,-874.0,7305.0,673.0,-4780.0
376,-535.0,1845.0,-507.0,6764.0,877.0,-4632.0
377,-459.0,2306.0,-71.0,6188.0,948.0,-4049.0
378,-363.0,2740.0,350.0,5596.0,843.0,-3177.0
379,-155.0,3212.0,778.0,4965.0,617.0,-2281.0
380,111.0,3671.0,1215.0,4267.0,251.0,-1464.0
381,295.0,4143.0,1515.0,3519.0,-213.0,-968.0
382,459.0,4591.0,1704.0,2702.0,-376.0,-874.0
383,504.0,4894.0,1880.0,1742.0,-132.0,-853.0
384,269.0,4872.0,1905.0,711.0,167.0,-775.0
385,127.0,4747.0,1969.0,-189.0,199.0,-413.0
386,308.0,4871.0,2027.0,-1069.0,-157.0,350.0
387,496.0,4910.0,1974.0,-2115.0,-478.0,1044.0
388,563.0,4677.0,1820.0,-3114.0,-532.0,1520.0
389,700.0,4352.0,1396.0,-3863.0,-573.0,1973.0
390,608.0,4080.0,1006.0,-4621.0,-403.0,2353.0
391,319.0,3824.0,778.0,-5523.0,-70.0,2743.0
392,262.0,3435.0,412.0,-6326.0,211.0,3062.0
393,173.0,2882.0,-5.0,-7036.0,529.0,3102.0
394,-44.0,2179.0,-519.0,-7690.0,834.0,3140.0
395,-427.0,1254.0,-1091.0,-8326.0,1051.0,3335.0
396,-957.0,206.0,-1654.0,-8923.0,1045.0,3787.0
397,-1495.0,-800.0,-2066.0,-9501.0,726.0,4445.0
398,-2080.0,-1963.0,-2442.0,-10085.0,319.0,5007.0
399,-2601.0,-3793.0,-3175.0,-10476.0,77.0,5015.0
400,-2792.0,-6183.0,-4145.0,-10269.0,96.0,4612.0
401,-2755.0,-8475.0,-4884.0,-9477.0,245.0,4166.0
402,-2826.0,-10278.0,-5227.0,-8491.0,330.0,3725.0
403,-2908.0,-11538.0,-5151.0,-7556.0,522.0,3298.0
404,-3036.0,-12429.0,-4875.0,-6687.0,856.0,2861.0
405,-3152.0,-13268.0,-4623.0,-5758.0,1103.0,2338.0
406,-3154.0,-14096.0,-4371.0,-4744.0,1013.0,2020.0
407,-2895.0,-14498.0,-4039.0,-3739.0,688.0,1989.0
408,-2571.0,-14502.0,-3661.0,-2865.0,297.0,1878.0
409,-2274.0,-14322.0,-3321.0,-1992.0,-105.0,1474.0
410,-1969.0,-13662.0,-3108.0,-900.0,-446.0,748.0
411,-1621.0,-12740.0,-2965.0,270.0,-594.0,-231.0
412,-1220.0,-11788.0,-2741.0,1373.0,-483.0,-1152.0
413,-887.0,-10728.0,-2531.0,2353.0,-310.0,-1838.0
414,-909.0,-9654.0,-2456.0,3179.0,-271.0,-2294.0
415,-1085.0,-9028.0,-2647.0,3791.0,-352.0,-2645.0
416,-1123.0,-8688.0,-2862.0,4393.0,-438.0,-2722.0
417,-1024.0,-8204.0,-2924.0,4975.0,-475.0,-2523.0
418,-990.0,-7635.0,-2900.0,5437.0,-292.0,-2478.0
419,-1103.0,-7018.0,-2849.0,5874.0,28.0,-2760.0
420,-1320.0,-6314.0,-2748.0,6338.0,216.0,-2971.0
421,-1551.0,-5573.0,-2562.0,6726.0,167.0,-2821.0
422,-1650.0,-4753.0,-2305.0,7023.0,-51.0,-2514.0
423,-1565.0,-3901.0,-2036.0,7187.0,-250.0,-2339.0
424,-1517.0,-3241.0,-1930.0,7196.0,-291.0,-2524.0
425,-1490.0,-2754.0,-1844.0,7183.0,-237.0,-2804.0
426,-1379.0,-2134.0,-1633.0,7182.0,-189.0,-2786.0
427,-1255.0,-1386.0,-1390.0,7080.0,-95.0,-2571.0
428,-1211.0,-697.0,-1138.0,6876.0,62.0,-2361.0
429,-1162.0,-80.0,-774.0,6667.0,157.0,-2140.0
430,-1020.0,538.0,-416.0,6388.0,155.0,-1931.0
431,-835.0,1106.0,-78.0,5931.0,45.0,-1762.0
432,-729.0,1514.0,136.0,5365.0,-129.0,-1591.0
433,-697.0,1846.0,330.0,4854.0,-233.0,-1438.0
434,-661.0,2236.0,492.0,4406.0,-270.0,-1328.0
435,-555.0,2625.0,669.0,3896.0,-344.0,-1088.0
436,-205.0,2987.0,871.0,3305.0,-353.0,-723.0
437,108.0,3349.0,1028.0,2584.0,-243.0,-513.0
438,72.0,3872.0,1321.0,1976.0,-295.0,-646.0
439,115.0,4224.0,1450.0,1550.0,-521.0,-698.0
440,85.0,4635.0,1505.0,1055.0,-651.0,-652.0
441,62.0,4998.0,1519.0,223.0,-762.0,-687.0
442,222.0,4960.0,1455.0,-825.0,-739.0,-421.0
443,460.0,4770.0,1343.0,-1906.0,-612.0,4.0
